               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.031147,            0.018792,           0.0041242,              0.6135,             0.51024,             0.53805,             0.33604,            0.061697,            0.013265,            0.026668,           0.0067577,           0.0067577,           0.0067577
                 133,            0.030572,            0.018191,           0.0052092,             0.67131,             0.45738,             0.52692,             0.32927,            0.065183,            0.014699,            0.026355,            0.006733,            0.006733,            0.006733
                 134,            0.031548,            0.017439,           0.0059636,             0.70547,             0.51214,             0.57689,             0.34598,            0.057785,            0.014047,            0.026108,           0.0067082,           0.0067082,           0.0067082
                 135,            0.029818,            0.018137,           0.0046662,             0.59667,             0.45044,             0.49555,              0.3196,            0.060571,            0.014832,            0.030595,           0.0066835,           0.0066835,           0.0066835
                 136,             0.03026,            0.018213,           0.0041211,             0.55519,             0.42141,             0.46274,              0.2686,            0.060023,            0.014764,            0.033923,           0.0066587,           0.0066587,           0.0066587
                 137,             0.02998,            0.017747,           0.0050438,             0.62361,             0.45961,             0.50474,             0.29135,            0.058038,            0.013043,            0.034953,            0.006634,            0.006634,            0.006634
                 138,             0.03198,            0.018531,           0.0049201,             0.65299,             0.43536,             0.48897,             0.29053,            0.064937,            0.014133,            0.032263,           0.0066092,           0.0066092,           0.0066092
                 139,            0.029156,            0.017285,           0.0044031,             0.71479,             0.45308,             0.52633,             0.31877,            0.061518,            0.013879,            0.030061,           0.0065845,           0.0065845,           0.0065845
                 140,            0.030977,             0.01737,             0.00412,             0.56186,             0.51914,             0.49933,             0.28656,            0.062326,            0.013234,            0.034429,           0.0065598,           0.0065598,           0.0065598
                 141,            0.030211,            0.017913,           0.0043546,             0.63952,             0.59036,             0.60498,             0.36985,            0.056662,            0.012394,            0.029865,            0.006535,            0.006535,            0.006535
                 142,            0.030039,            0.017717,           0.0045196,             0.67181,              0.4304,             0.51087,             0.30151,            0.063634,            0.013763,            0.027483,           0.0065102,           0.0065102,           0.0065102
                 143,            0.029658,            0.017737,           0.0049731,             0.56283,             0.48649,              0.5259,              0.3189,            0.065168,             0.01357,            0.032182,           0.0064855,           0.0064855,           0.0064855
                 144,            0.028617,            0.017015,           0.0037826,             0.55051,             0.46336,             0.45855,             0.27461,            0.067515,            0.013684,            0.027086,           0.0064608,           0.0064608,           0.0064608
                 145,            0.029981,            0.017238,           0.0050633,             0.57766,             0.46501,             0.50924,             0.31176,            0.065471,            0.014275,            0.025289,            0.006436,            0.006436,            0.006436
                 146,            0.029813,            0.017802,           0.0048233,             0.71834,             0.42203,             0.49909,             0.30803,            0.063603,            0.014048,            0.026345,           0.0064112,           0.0064112,           0.0064112
                 147,            0.029727,            0.017929,           0.0048175,             0.64469,             0.41199,             0.45353,             0.26446,            0.070454,            0.014502,            0.026581,           0.0063865,           0.0063865,           0.0063865
                 148,            0.029966,            0.016472,           0.0043688,             0.68094,             0.46995,             0.55468,             0.33567,            0.055202,            0.014067,            0.032191,           0.0063618,           0.0063618,           0.0063618
                 149,            0.030888,            0.017649,           0.0040201,             0.70635,              0.5072,             0.57281,              0.3597,            0.063767,            0.014378,             0.02899,            0.006337,            0.006337,            0.006337
                 150,            0.028549,            0.016585,           0.0036003,             0.63756,             0.51741,             0.55181,             0.34906,            0.061477,             0.01373,            0.025966,           0.0063122,           0.0063122,           0.0063122
                 151,            0.029397,            0.017185,           0.0030905,             0.67809,             0.44885,             0.52134,             0.33964,            0.065483,            0.014412,            0.029688,           0.0062875,           0.0062875,           0.0062875
                 152,            0.030366,            0.016834,           0.0052579,             0.73245,             0.45226,             0.52655,              0.3443,            0.064587,            0.014117,            0.028368,           0.0062628,           0.0062628,           0.0062628
